"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"122","S01006627",78.31,0,0,1030.06,1587.72,0,25.03,345.88
"123","S01006628",0,0,0,556.98,991.84,0,384.09,12.9
"124","S01006629",171.91,0,0,938.99,884.19,0,0,60.18
"125","S01006630",193.61,0,0,1440.86,616.3,0,400.73,0
"126","S01006631",0,0,37.7,2228.44,4535.75,0,1931.49,76.32
"127","S01006632",0,0,0,886.12,15.72,0,37.38,196.85
"128","S01006633",0,0,0,1592.44,272.6,0,0,0
"129","S01006634",0,0,0,1054.76,559.33,0,74.14,0
"130","S01006635",0,0,0,1320.17,566.21,0,0,125.84
"131","S01006636",0,0,0,1421.53,51.51,0,0,0
"132","S01006637",165.56,0,0,3581.33,3131.44,0,433.14,0
"133","S01006638",0,0,6.27,1175.26,323.56,0,99.51,0
"134","S01006639",771.89,0,48.69,1302.06,110.12,0,502.03,0
"135","S01006640",0,0,0,892.26,2669.24,0,126.39,0
"136","S01006641",0,0,63.85,837.47,663.13,0,222.9,0
"137","S01006642",945.49,312.15,9.87,973.66,501.72,0,538.08,0
"138","S01006643",138.75,0.75,0,463.32,227,0,372.21,0
"139","S01006644",130.06,0,0,1300.08,267.8,0,101.12,0
"140","S01006645",97.65,0,0,353.97,181.33,0,196.56,0
"141","S01006646",0,0,194.49,1802.65,1025.34,0,188.66,0
"142","S01006647",141.38,0,0,216.13,166.51,0,94.76,0
"143","S01006648",11.68,614.78,293.82,1034.13,1177.63,0,352.3,0
"144","S01006649",164.67,0,0,882.98,37.46,0,0,0
"145","S01006650",90.72,15.89,0,1099.9,85.64,0,68.69,0
"146","S01006651",667.36,1.3,0,1241.73,306.07,0,173.4,0
"147","S01006652",977.77,0,0,521.41,163.08,0,203.67,0
"148","S01006653",0,243.39,1.83,811.55,388.54,0,52.8,0.03
"149","S01006654",219.2,0,0,2229.47,744.63,0,94.29,0
